Generating tableized rouge results from
input file: "results/D4_evaltest_rouge_scores.out"
local time: 2018-05-31 16:54:16 

note: printing 'average' lines for table validation

0002: avg_line: "9 ROUGE-1 Average_R: 0.30670 (95%-conf.int. 0.28675 - 0.32606)"
0003: avg_line: "9 ROUGE-1 Average_P: 0.31478 (95%-conf.int. 0.29628 - 0.33264)"
0004: avg_line: "9 ROUGE-1 Average_F: 0.31020 (95%-conf.int. 0.29137 - 0.32852)"
0051: avg_line: "9 ROUGE-2 Average_R: 0.08309 (95%-conf.int. 0.06950 - 0.09704)"
0052: avg_line: "9 ROUGE-2 Average_P: 0.08492 (95%-conf.int. 0.07208 - 0.09816)"
0053: avg_line: "9 ROUGE-2 Average_F: 0.08384 (95%-conf.int. 0.07044 - 0.09734)"
0100: avg_line: "9 ROUGE-3 Average_R: 0.02765 (95%-conf.int. 0.01892 - 0.03824)"
0101: avg_line: "9 ROUGE-3 Average_P: 0.02800 (95%-conf.int. 0.01954 - 0.03784)"
0102: avg_line: "9 ROUGE-3 Average_F: 0.02777 (95%-conf.int. 0.01923 - 0.03796)"
0149: avg_line: "9 ROUGE-4 Average_R: 0.01189 (95%-conf.int. 0.00674 - 0.01875)"
0150: avg_line: "9 ROUGE-4 Average_P: 0.01190 (95%-conf.int. 0.00698 - 0.01797)"
0151: avg_line: "9 ROUGE-4 Average_F: 0.01186 (95%-conf.int. 0.00683 - 0.01845)"

--- Averages ---
,Averages,a.RECALL,b.PREC,c.F-SCORE
,D1136-A.M.100.G.9,0.00398,0.00417,0.00407
,D1137-A.M.100.G.9,0.00465,0.0049,0.00477
,D1138-A.M.100.G.9,0.0,0.0,0.0
,D1139-A.M.100.G.9,0.03306,0.03509,0.03404
,D1140-A.M.100.H.9,0.0,0.0,0.0
,D1141-A.M.100.H.9,0.01498,0.01639,0.01565
,D1142-A.M.100.H.9,0.02326,0.02193,0.02258
,D1143-A.M.100.H.9,0.00442,0.00455,0.00448
,D1144-A.M.100.H.9,0.0,0.0,0.0
----------------

--- ROUGE-4 ---
,ROUGE-4,a.ROUGE,b.PREC,c.F-SCORE
,D1101-A.M.100.A.9,0.03241,0.03365,0.03302
,D1102-A.M.100.A.9,0.0041,0.00446,0.00427
,D1103-A.M.100.A.9,0.02075,0.02315,0.02188
,D1104-A.M.100.A.9,0.02024,0.02155,0.02087
,D1105-A.M.100.A.9,0.00877,0.00862,0.00869
,D1106-A.M.100.A.9,0.0,0.0,0.0
,D1107-A.M.100.B.9,0.0,0.0,0.0
,D1108-A.M.100.B.9,0.02597,0.02679,0.02637
,D1109-A.M.100.B.9,0.01339,0.01271,0.01304
,D1110-A.M.100.B.9,0.01562,0.01639,0.016
,D1111-A.M.100.B.9,0.02791,0.03,0.02892
,D1112-A.M.100.C.9,0.0,0.0,0.0
,D1113-A.M.100.C.9,0.0,0.0,0.0
,D1114-A.M.100.C.9,0.0,0.0,0.0
,D1115-A.M.100.C.9,0.10965,0.09191,0.1
,D1116-A.M.100.C.9,0.00488,0.00543,0.00514
,D1117-A.M.100.C.9,0.01288,0.01316,0.01302
,D1118-A.M.100.D.9,0.0,0.0,0.0
,D1119-A.M.100.D.9,0.0,0.0,0.0
,D1120-A.M.100.D.9,0.00452,0.00532,0.00489
,D1121-A.M.100.D.9,0.0084,0.00943,0.00889
,D1122-A.M.100.D.9,0.0,0.0,0.0
,D1123-A.M.100.D.9,0.0,0.0,0.0
,D1124-A.M.100.E.9,0.03017,0.03182,0.03097
,D1125-A.M.100.E.9,0.00407,0.0049,0.00445
,D1126-A.M.100.E.9,0.07767,0.07547,0.07655
,D1127-A.M.100.E.9,0.0,0.0,0.0
,D1128-A.M.100.E.9,0.02632,0.03,0.02804
,D1129-A.M.100.E.9,0.0,0.0,0.0
,D1130-A.M.100.F.9,0.00926,0.00877,0.00901
,D1131-A.M.100.F.9,0.00897,0.01,0.00946
,D1132-A.M.100.F.9,0.0,0.0,0.0
,D1133-A.M.100.F.9,0.01339,0.01339,0.01339
,D1134-A.M.100.F.9,0.01709,0.02,0.01843
,D1135-A.M.100.G.9,0.00461,0.00424,0.00442
,D1136-A.M.100.G.9,0.0,0.0,0.0
,D1137-A.M.100.G.9,0.0,0.0,0.0
,D1138-A.M.100.G.9,0.0,0.0,0.0
,D1139-A.M.100.G.9,0.0084,0.00893,0.00866
,D1140-A.M.100.H.9,0.0,0.0,0.0
,D1141-A.M.100.H.9,0.0038,0.00417,0.00398
,D1142-A.M.100.H.9,0.00948,0.00893,0.0092
,D1143-A.M.100.H.9,0.0,0.0,0.0
,D1144-A.M.100.H.9,0.0,0.0,0.0
----------------
